[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: identity registerAction.class.php 第 16 行.
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: passworld registerAction.class.php 第 17 行.
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckRoute Behavior [ RunTime:0.000617s ]
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000676s ]
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000234s ]
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000270s ]
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: mobile registerAction.class.php 第 15 行.
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: identity registerAction.class.php 第 16 行.
[ 2017-06-22T13:36:58+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: passworld registerAction.class.php 第 17 行.
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckRoute Behavior [ RunTime:0.000857s ]
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000973s ]
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000404s ]
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000454s ]
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: mobile registerAction.class.php 第 15 行.
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: identity registerAction.class.php 第 16 行.
[ 2017-06-22T13:37:47+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: passworld registerAction.class.php 第 17 行.
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckRoute Behavior [ RunTime:0.000490s ]
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000532s ]
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000378s ]
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000398s ]
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: identity registerAction.class.php 第 17 行.
[ 2017-06-22T13:58:18+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined variable: errmsg registerAction.class.php 第 27 行.
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckRoute Behavior [ RunTime:0.000250s ]
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000276s ]
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000129s ]
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000142s ]
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: identity registerAction.class.php 第 17 行.
[ 2017-06-22T14:00:59+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined variable: errmsg registerAction.class.php 第 28 行.
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckRoute Behavior [ RunTime:0.000271s ]
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000298s ]
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000140s ]
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000154s ]
[ 2017-06-22T14:03:27+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: identity registerAction.class.php 第 17 行.
[ 2017-06-22T14:20:54+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T14:20:54+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Run CheckRoute Behavior [ RunTime:0.000558s ]
[ 2017-06-22T14:20:54+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000615s ]
[ 2017-06-22T14:20:54+08:00 ] /mb_oa/index.php/register/sendMessage | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T14:20:54+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T14:20:54+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000279s ]
[ 2017-06-22T14:20:54+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000295s ]
[ 2017-06-22T14:23:19+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T14:23:19+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Run CheckRoute Behavior [ RunTime:0.000493s ]
[ 2017-06-22T14:23:19+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000525s ]
[ 2017-06-22T14:23:19+08:00 ] /mb_oa/index.php/register/sendMessage | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T14:23:19+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T14:23:19+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000365s ]
[ 2017-06-22T14:23:19+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000386s ]
[ 2017-06-22T14:45:40+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T14:45:40+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Run CheckRoute Behavior [ RunTime:0.000518s ]
[ 2017-06-22T14:45:40+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000558s ]
[ 2017-06-22T14:45:40+08:00 ] /mb_oa/index.php/register/sendMessage | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T14:45:40+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T14:45:40+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000370s ]
[ 2017-06-22T14:45:40+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000396s ]
[ 2017-06-22T14:47:24+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T14:47:24+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Run CheckRoute Behavior [ RunTime:0.000527s ]
[ 2017-06-22T14:47:24+08:00 ] /mb_oa/index.php/register/sendMessage | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000562s ]
[ 2017-06-22T14:47:24+08:00 ] /mb_oa/index.php/register/sendMessage | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
