[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000288s ]
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000302s ]
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | NOTIC: [8] Undefined index: moudle IndexAction.class.php 第 10 行.
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | NOTIC: [8] Undefined index: action IndexAction.class.php 第 11 行.
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Run CheckRoute Behavior [ RunTime:0.000506s ]
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000537s ]
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000330s ]
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000345s ]
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | NOTIC: [8] Undefined variable: __GET IndexAction.class.php 第 10 行.
[ 2017-06-20T16:20:57+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | NOTIC: [8] Undefined variable: __GET IndexAction.class.php 第 11 行.
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000253s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000278s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000121s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000133s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined variable: __GET IndexAction.class.php 第 10 行.
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined variable: __GET IndexAction.class.php 第 11 行.
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000290s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000319s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000137s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000151s ]
[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined variable: __GET IndexAction.class.php 第 10 行.
